Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-05,Deadpool & Wolverine,2024,https://boxd.it/8k2s4N,1.5,,,2025-01-04
2025-01-06,Sunshine,2007,https://boxd.it/8lavpf,3.5,,,2025-01-05
2025-01-06,The Grand Budapest Hotel,2014,https://boxd.it/8lfBfF,4.5,,,2025-01-05
2025-01-18,Hacksaw Ridge,2016,https://boxd.it/8w8NZZ,5,,,2025-01-18
2025-01-21,Training Day,2001,https://boxd.it/8yFMOl,4,,,2025-01-20
2025-01-30,Green Book,2018,https://boxd.it/8Fxco9,4,,,2025-01-29
2025-02-02,Uncut Gems,2019,https://boxd.it/8HDLRl,3.5,,,2025-02-01
2025-02-02,The Lincoln Lawyer,2011,https://boxd.it/8HImwR,3.5,,,2025-02-02
2025-02-16,Coach Carter,2005,https://boxd.it/8QPHIz,4,,,2025-02-15
2025-02-22,Django Unchained,2012,https://boxd.it/8UE9w9,4.5,,,2025-02-21
2025-02-27,Ne Zha,2019,https://boxd.it/8XXYNv,3.5,,,2025-02-26
2025-03-10,We Were Young,1961,https://boxd.it/954hiV,3,,,2025-03-09
2025-03-20,Black Panther: Wakanda Forever,2022,https://boxd.it/9b3n1j,2,,,2025-03-19
2025-03-23,The Bourne Identity,2002,https://boxd.it/9cl641,3.5,,,2025-03-22
2025-03-29,Interstellar,2014,https://boxd.it/9g4pZR,4,,,2025-03-29
2025-04-08,The Martian,2015,https://boxd.it/9lTvGj,4,,,2025-04-07
2025-04-12,Pulp Fiction,1994,https://boxd.it/9nUkil,3.5,,,2025-04-12
2025-04-13,Rush,2013,https://boxd.it/9ouaYj,3.5,,,2025-04-12
2025-04-19,Oppenheimer,2023,https://boxd.it/9s5GYr,4.5,,,2025-04-19
2025-04-22,Dune: Part Two,2024,https://boxd.it/9u5GsD,4,,,2025-04-21
2025-04-22,The Devil Wears Prada,2006,https://boxd.it/9ucoXR,3,,,2025-04-21
2025-05-05,Ford v Ferrari,2019,https://boxd.it/9BVDC3,4,,,2025-05-04
2025-05-17,Sing Sing,2023,https://boxd.it/9Is837,4,,,2025-05-17
2025-05-22,Fantastic Mr. Fox,2009,https://boxd.it/9LjxMP,4,,,2025-05-21
2025-05-27,A Minecraft Movie,2025,https://boxd.it/9OMPBv,3,,,2025-05-26
2025-05-27,Coneheads,1993,https://boxd.it/9OMPZR,3,,,2025-05-26
2025-07-01,Thunderbolts*,2025,https://boxd.it/ab32uR,3.5,,,2025-06-30
2025-07-20,Superman,2025,https://boxd.it/aoy9L5,4,,,2025-07-19
2025-07-27,The King's Speech,2010,https://boxd.it/auzNu5,4,,,2025-07-26
