Date,Name,Year,Letterboxd URI,Rating
2025-01-05,Deadpool & Wolverine,2024,https://boxd.it/jq8s,1.5
2025-01-05,Wicked,2024,https://boxd.it/e8ME,4
2025-01-06,Sunshine,2007,https://boxd.it/28Xy,3.5
2025-01-06,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2025-01-06,Challengers,2024,https://boxd.it/zld0,3.5
2025-01-06,Paddington 2,2017,https://boxd.it/bCF8,4.5
2025-01-06,Fight Club,1999,https://boxd.it/2a9q,4.5
2025-01-06,Parasite,2019,https://boxd.it/hTha,5
2025-01-06,Good Will Hunting,1997,https://boxd.it/2ahY,4
2025-01-06,Knives Out,2019,https://boxd.it/jWEA,4
2025-01-06,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2025-01-06,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4.5
2025-01-06,Anyone But You,2023,https://boxd.it/EzA8,1
2025-01-06,Inception,2010,https://boxd.it/1skk,4.5
2025-01-06,Forrest Gump,1994,https://boxd.it/728,5
2025-01-06,Bottoms,2023,https://boxd.it/uGf2,4
2025-01-06,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2025-01-06,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2025-01-06,Ratatouille,2007,https://boxd.it/27ww,4.5
2025-01-06,Bullet Train,2022,https://boxd.it/qW26,3.5
2025-01-06,No Hard Feelings,2023,https://boxd.it/xouu,3
2025-01-06,John Wick,2014,https://boxd.it/7dEc,3
2025-01-18,Hacksaw Ridge,2016,https://boxd.it/azew,5
2025-01-21,Training Day,2001,https://boxd.it/27A4,4
2025-01-30,Green Book,2018,https://boxd.it/hErk,4
2025-02-02,Uncut Gems,2019,https://boxd.it/gXGc,3.5
2025-02-02,The Lincoln Lawyer,2011,https://boxd.it/DRM,3.5
2025-02-16,Coach Carter,2005,https://boxd.it/218e,4
2025-02-22,Django Unchained,2012,https://boxd.it/2cCk,4.5
2025-02-23,The Gorge,2025,https://boxd.it/zRqK,2.5
2025-02-24,Reservoir Dogs,1992,https://boxd.it/2agc,2
2025-02-26,A Complete Unknown,2024,https://boxd.it/oBYa,4
2025-02-27,Ne Zha,2019,https://boxd.it/mKSm,3.5
2025-03-07,Sicario,2015,https://boxd.it/8i7u,2
2025-03-07,Anora,2024,https://boxd.it/Egcw,4
2025-03-08,The Imitation Game,2014,https://boxd.it/6aig,3
2025-03-10,We Were Young,1961,https://boxd.it/dD92,3
2025-03-18,Hidden Figures,2016,https://boxd.it/dgS4,4
2025-03-20,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,2
2025-03-23,The Bourne Identity,2002,https://boxd.it/26EO,3.5
2025-03-29,Interstellar,2014,https://boxd.it/4VZ8,4
2025-04-08,The Martian,2015,https://boxd.it/8SeG,4
2025-04-12,Pulp Fiction,1994,https://boxd.it/29Pq,3.5
2025-04-13,Rush,2013,https://boxd.it/3lyS,3.5
2025-04-18,Chef,2014,https://boxd.it/6lCG,4
2025-04-19,Oppenheimer,2023,https://boxd.it/wUow,4.5
2025-04-20,Dune,2021,https://boxd.it/fA7G,4
2025-04-22,Dune: Part Two,2024,https://boxd.it/pUfA,4
2025-04-22,The Devil Wears Prada,2006,https://boxd.it/2awE,3
2025-04-22,The Intern,2015,https://boxd.it/7AOE,4.5
2025-04-29,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4.5
2025-05-01,Bumblebee,2018,https://boxd.it/f21O,3
2025-05-05,Ford v Ferrari,2019,https://boxd.it/ce74,4
2025-05-17,Sing Sing,2023,https://boxd.it/HIBA,4
2025-05-21,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2025-05-27,A Minecraft Movie,2025,https://boxd.it/zRro,3
2025-05-27,Coneheads,1993,https://boxd.it/1YeS,3
2025-06-01,The Nice Guys,2016,https://boxd.it/94Hg,4
2025-06-07,Sinners,2025,https://boxd.it/KQMM,4.5
2025-07-01,Thunderbolts*,2025,https://boxd.it/BfbQ,3.5
2025-07-06,Transformers One,2024,https://boxd.it/q7bc,3.5
2025-07-20,Superman,2025,https://boxd.it/E9IU,4
2025-07-27,The King's Speech,2010,https://boxd.it/dX0,4
