Date,Name,Year,Letterboxd URI
2025-01-01,Jojo Rabbit,2019,https://boxd.it/iEBG
2025-01-01,Spotlight,2015,https://boxd.it/a84k
2025-01-01,Whiplash,2014,https://boxd.it/7bQA
2025-01-01,The Pursuit of Happyness,2006,https://boxd.it/28PE
2025-01-01,Spider-Man 2,2004,https://boxd.it/2a88
2025-01-01,City of God,2002,https://boxd.it/2a2a
2025-01-01,Spirited Away,2001,https://boxd.it/2b4m
2025-01-01,Cast Away,2000,https://boxd.it/20i8
2025-01-01,Eyes Wide Shut,1999,https://boxd.it/2axs
2025-01-01,The Truman Show,1998,https://boxd.it/18U8
2025-01-01,Once Upon a Time in the West,1968,https://boxd.it/2az4
2025-01-01,Princess Mononoke,1997,https://boxd.it/2b4w
2025-01-01,Heat,1995,https://boxd.it/2bg8
2025-01-01,Se7en,1995,https://boxd.it/29zs
2025-01-01,When Harry Met Sally...,1989,https://boxd.it/29W2
2025-01-01,Grave of the Fireflies,1988,https://boxd.it/1RUM
2025-01-01,The Princess Bride,1987,https://boxd.it/26EY
2025-01-01,Blade Runner,1982,https://boxd.it/2bcA
2025-01-01,Taxi Driver,1976,https://boxd.it/2b8y
2025-01-01,The Godfather Part II,1974,https://boxd.it/2aNq
2025-01-01,The Godfather,1972,https://boxd.it/2aNK
2025-01-01,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2025-01-01,Citizen Kane,1941,https://boxd.it/71O
2025-01-01,Schindler's List,1993,https://boxd.it/2aq2
2025-01-01,Requiem for a Dream,2000,https://boxd.it/29VI
2025-01-01,To Kill a Mockingbird,1962,https://boxd.it/2a2E
2025-01-01,Saving Private Ryan,1998,https://boxd.it/29ro
2025-01-01,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2025-01-01,Rocky,1976,https://boxd.it/28Uk
2025-01-01,My Cousin Vinny,1992,https://boxd.it/1WpO
2025-01-01,Blade Runner 2049,2017,https://boxd.it/b8wK
2025-01-01,The Social Network,2010,https://boxd.it/17ue
